FAKE_ACCTCODE,OPT_IN_DATE,FUEL_ONLY_PARENT_ACCT,CLI_AMOUNT,FLEETCOR_OPEN_DATE,CITY,STATE,ZIP,TERM_DAYS,DUE_DAYS,LOCK_DAYS,CREDIT_LIMIT,LOCK_CODE,LOCK_REASON,LOCK_TYPE,DEPOSIT_FLAG,PORTFOLIO,LOB_REPORTING,YEARMONTH,GALLONS,FUEL_SPEND,NONFUEL_SPEND,TOT_SPEND,PAYMENT_AMOUNT,NO_OF_PAYMENT,SNAPSHOT_DATE,CURRENT_BALANCE,UNBILLED_BALANCE,DAYS_PAST_DUE,BAL_1_30,BAL_31_60,BAL_61_90,BAL_90_PLUS
133252,2/28/2023,0,1200.00,1/13/2022,CRYSTAL LAKE,IL,60014,30,14,7,1000,I,BAD AGENCY,PERM LOCK,1,BPMC,NAP,202210,160.97,679.27,0,679.27,301.86,2,44835,0,2700.56,0,0,0,0,0
133750,10/11/2022,0,3000.00,1/22/2022,ATLANTA,GA,30318,30,14,18,4200,Z,UNLOCKED,UNLOCKED,1,BPMC,NAP,202210,21.42,75,544.2,619.2,600,2,44835,0,191.41,0,0,0,0,0
134322,9/20/2022,0,3000.00,1/29/2022,MILWAUKEE,WI,53218,30,14,7,500,Z,UNLOCKED,UNLOCKED,1,BPMC,NAP,202210,26.14,99.14,1546.18,1645.32,391.26,2,44835,0,191.41,0,0,0,0,0
135539,1/22/2023,0,5500.00,2/14/2022,MONASTERY,NS,B0H1W0,30,14,3,5500,S,S-LOCK,TEMP LOCK,1,HSMC,NAP,202210,764.607,5293.17,0,5293.17,7790.9,6,45170,0,2422.95,0,0,0,0,0
136364,7/25/2023,0,18000.00,2/25/2022,COMPTON,CA,90222,7,7,10,18000,I,BAD AGENCY,PERM LOCK,0,FMMC,NAL MC,202210,3198.595,19424.42,0,19424.42,15339.13,8,44835,6148.85,2317.62,0,0,0,0,0
137355,11/17/2022,0,3500.00,3/11/2022,DACULA,GA,30019,7,5,5,1000,A,Other,PERM LOCK,1,BPMC,NAP,202210,24.78,110,0,110,110,1,44835,0,0,0,0,0,0,0
137806,3/11/2023,0,16000.00,3/17/2022,CARDIFF,CA,92007,15,14,10,16000,S,S-LOCK,TEMP LOCK,0,ARMC,NAP,202210,1531.508,8912.64,0,8912.64,8759.82,2,44835,0,0,0,0,0,0,0
194931,4/29/2023,FUEL-ONLY PARENT ACCT,0.00,4/21/2021,STRATFORD,CT,06614,30,10,10,1630,M,FRAUD,PERM LOCK,0,Fuelman,Fuelman,202210,103.565,400.53,0,400.53,852.9,1,45231,0,0,222,0,0,0,4554.3
130289,1/13/2023,0,5500.00,11/22/2021,KATY,TX,77494,30,14,5,1500,I,BAD AGENCY,PERM LOCK,1,BPMC,NAP,202211,20.48,71.07,281,352.07,66.2,1,44835,0,342.8,0,0,0,0,0
139477,12/21/2022,0,3740.00,4/6/2022,MISSISSAUGA,ON,L4T3Z4,30,14,7,3740,Z,UNLOCKED,UNLOCKED,1,HSMC,NAP,202210,181.19,1101.21,0,1101.21,3982.03,3,44835,0,0,31,11.38,1669.59,0,0
